51 0 AP890503-0279  1 0.26781082 run-1
62 0 AP890212-0020  452 0.033864666 run-1
62 0 AP890703-0190  453 0.033864666 run-1
62 0 AP890213-0111  454 0.033864666 run-1
62 0 AP891121-0188  455 0.033864666 run-1
62 0 AP890214-0081  456 0.033864666 run-1
62 0 AP890215-0121  457 0.033864666 run-1
62 0 AP891124-0019  458 0.033864666 run-1
62 0 AP890428-0176  459 0.033864666 run-1
62 0 AP890216-0125  460 0.033864666 run-1
62 0 AP890216-0150  461 0.033864666 run-1
62 0 AP890709-0038  462 0.033864666 run-1
62 0 AP890501-0035  463 0.033864666 run-1
62 0 AP890501-0085  464 0.033864666 run-1
62 0 AP890919-0185  465 0.033864666 run-1
62 0 AP890920-0163  466 0.033864666 run-1
62 0 AP890922-0114  467 0.033864666 run-1
62 0 AP890922-0161  468 0.033864666 run-1
62 0 AP890713-0083  469 0.033864666 run-1
62 0 AP891130-0131  470 0.033864666 run-1
62 0 AP891201-0082  471 0.033864666 run-1
62 0 AP890714-0144  472 0.033864666 run-1
62 0 AP890505-0164  473 0.033864666 run-1
62 0 AP890714-0210  474 0.033864666 run-1
62 0 AP890715-0066  475 0.033864666 run-1
62 0 AP890225-0065  476 0.033864666 run-1
62 0 AP890717-0165  477 0.033864666 run-1
62 0 AP890226-0075  478 0.033864666 run-1
62 0 AP890227-0181  479 0.033864666 run-1
62 0 AP890228-0015  480 0.033864666 run-1
62 0 AP891208-0182  481 0.033864666 run-1
62 0 AP890929-0083  482 0.033864666 run-1
62 0 AP890511-0079  483 0.033864666 run-1
62 0 AP890302-0065  484 0.033864666 run-1
62 0 AP891211-0098  485 0.033864666 run-1
62 0 AP891211-0100  486 0.033864666 run-1
62 0 AP890302-0162  487 0.033864666 run-1
62 0 AP890305-0001  488 0.033864666 run-1
62 0 AP890305-0013  489 0.033864666 run-1
62 0 AP890305-0053  490 0.033864666 run-1
62 0 AP890516-0006  491 0.033864666 run-1
62 0 AP890306-0185  492 0.033864666 run-1
62 0 AP891004-0216  493 0.033864666 run-1
62 0 AP891005-0137  494 0.033864666 run-1
62 0 AP890726-0272  495 0.033864666 run-1
62 0 AP891217-0025  496 0.033864666 run-1
62 0 AP891007-0057  497 0.033864666 run-1
62 0 AP890309-0090  498 0.033864666 run-1
62 0 AP890728-0071  499 0.033864666 run-1
62 0 AP890309-0128  500 0.033864666 run-1
62 0 AP890519-0146  501 0.033864666 run-1
62 0 AP890310-0062  502 0.033335533 run-1
62 0 AP891009-0144  503 0.033335533 run-1
62 0 AP891220-0031  504 0.033335533 run-1
62 0 AP891220-0054  505 0.033335533 run-1
62 0 AP891222-0041  506 0.033335533 run-1
62 0 AP890314-0173  507 0.033335533 run-1
62 0 AP890106-0080  508 0.033335533 run-1
62 0 AP890318-0118  509 0.033335533 run-1
62 0 AP890809-0198  510 0.033335533 run-1
62 0 AP890812-0026  511 0.033335533 run-1
62 0 AP891025-0159  512 0.033335533 run-1
62 0 AP890609-0154  513 0.033335533 run-1
62 0 AP891028-0016  514 0.033335533 run-1
62 0 AP890611-0050  515 0.033335533 run-1
62 0 AP890128-0098  516 0.033335533 run-1
62 0 AP891106-0132  517 0.033335533 run-1
62 0 AP890902-0055  518 0.033335533 run-1
62 0 AP890902-0057  519 0.033335533 run-1
62 0 AP890417-0160  520 0.033335533 run-1
62 0 AP890419-0039  521 0.033335533 run-1
62 0 AP891115-0031  522 0.033335533 run-1
62 0 AP890420-0172  523 0.033335533 run-1
62 0 AP890912-0062  524 0.033335533 run-1
62 0 AP891122-0039  525 0.033335533 run-1
62 0 AP890214-0145  526 0.033335533 run-1
62 0 AP890428-0014  527 0.033335533 run-1
62 0 AP890707-0173  528 0.033335533 run-1
62 0 AP890922-0039  529 0.033335533 run-1
62 0 AP890506-0079  530 0.033335533 run-1
62 0 AP890716-0032  531 0.033335533 run-1
62 0 AP891204-0156  532 0.033335533 run-1
62 0 AP890727-0030  533 0.033335533 run-1
62 0 AP890819-0081  534 0.033070963 run-1
62 0 AP890613-0078  535 0.033070963 run-1
62 0 AP890616-0175  536 0.033070963 run-1
62 0 AP890414-0226  537 0.033070963 run-1
62 0 AP890624-0003  538 0.033070963 run-1
62 0 AP890624-0128  539 0.033070963 run-1
62 0 AP891114-0151  540 0.033070963 run-1
62 0 AP891207-0112  541 0.033070963 run-1
62 0 AP890511-0206  542 0.033070963 run-1
62 0 AP891007-0117  543 0.033070963 run-1
62 0 AP891218-0187  544 0.033070963 run-1
62 0 AP890404-0106  545 0.033023596 run-1
62 0 AP890801-0077  546 0.032409545 run-1
62 0 AP890104-0174  547 0.032409545 run-1
62 0 AP891012-0046  548 0.032409545 run-1
62 0 AP890528-0015  549 0.032409545 run-1
62 0 AP890318-0108  550 0.032409545 run-1
62 0 AP891018-0159  551 0.032409545 run-1
62 0 AP890530-0070  552 0.032409545 run-1
62 0 AP890319-0094  553 0.032409545 run-1
62 0 AP891019-0083  554 0.032409545 run-1
62 0 AP891019-0142  555 0.032409545 run-1
62 0 AP890114-0137  556 0.032409545 run-1
62 0 AP891022-0015  557 0.032409545 run-1
62 0 AP890116-0108  558 0.032409545 run-1
62 0 AP890606-0153  559 0.032409545 run-1
62 0 AP890607-0025  560 0.032409545 run-1
62 0 AP890328-0126  561 0.032409545 run-1
62 0 AP890608-0027  562 0.032409545 run-1
62 0 AP890610-0088  563 0.032409545 run-1
62 0 AP891031-0167  564 0.032409545 run-1
62 0 AP891031-0176  565 0.032409545 run-1
62 0 AP890406-0040  566 0.032409545 run-1
62 0 AP890127-0091  567 0.032409545 run-1
62 0 AP890619-0061  568 0.032409545 run-1
62 0 AP890619-0109  569 0.032409545 run-1
62 0 AP890831-0191  570 0.032409545 run-1
62 0 AP890621-0204  571 0.032409545 run-1
62 0 AP890414-0085  572 0.032409545 run-1
62 0 AP890902-0054  573 0.032409545 run-1
62 0 AP890414-0157  574 0.032409545 run-1
62 0 AP890203-0190  575 0.032409545 run-1
62 0 AP890624-0108  576 0.032409545 run-1
62 0 AP890908-0103  577 0.032409545 run-1
62 0 AP891118-0051  578 0.032409545 run-1
62 0 AP891118-0058  579 0.032409545 run-1
62 0 AP891119-0026  580 0.032409545 run-1
62 0 AP890211-0080  581 0.032409545 run-1
62 0 AP890425-0069  582 0.032409545 run-1
62 0 AP891121-0195  583 0.032409545 run-1
62 0 AP890916-0091  584 0.032409545 run-1
62 0 AP890428-0170  585 0.032409545 run-1
62 0 AP890710-0106  586 0.032409545 run-1
62 0 AP890502-0146  587 0.032409545 run-1
62 0 AP891128-0072  588 0.032409545 run-1
62 0 AP890223-0172  589 0.032409545 run-1
62 0 AP891203-0024  590 0.032409545 run-1
62 0 AP890227-0111  591 0.032409545 run-1
62 0 AP890509-0089  592 0.032409545 run-1
62 0 AP890719-0161  593 0.032409545 run-1
62 0 AP890721-0058  594 0.032409545 run-1
62 0 AP890721-0119  595 0.032409545 run-1
62 0 AP890513-0047  596 0.032409545 run-1
62 0 AP891213-0017  597 0.032409545 run-1
62 0 AP891005-0036  598 0.032409545 run-1
62 0 AP890726-0085  599 0.032409545 run-1
62 0 AP890727-0022  600 0.032409545 run-1
62 0 AP891006-0059  601 0.032409545 run-1
62 0 AP890727-0206  602 0.032409545 run-1
62 0 AP891226-0159  603 0.030131612 run-1
62 0 AP890509-0056  604 0.030131612 run-1
62 0 AP891009-0055  605 0.029763868 run-1
62 0 AP890104-0007  606 0.029763868 run-1
62 0 AP890313-0084  607 0.029763868 run-1
62 0 AP891222-0136  608 0.029763868 run-1
62 0 AP891222-0195  609 0.029763868 run-1
62 0 AP890106-0157  610 0.029763868 run-1
62 0 AP890806-0018  611 0.029763868 run-1
62 0 AP890531-0023  612 0.029763868 run-1
62 0 AP890811-0173  613 0.029763868 run-1
62 0 AP890812-0089  614 0.029763868 run-1
62 0 AP890606-0073  615 0.029763868 run-1
62 0 AP890123-0010  616 0.029763868 run-1
62 0 AP890124-0012  617 0.029763868 run-1
62 0 AP890407-0097  618 0.029763868 run-1
62 0 AP890126-0043  619 0.029763868 run-1
62 0 AP890414-0137  620 0.029763868 run-1
62 0 AP891109-0170  621 0.029763868 run-1
62 0 AP890213-0013  622 0.029763868 run-1
62 0 AP891121-0105  623 0.029763868 run-1
62 0 AP890221-0042  624 0.029763868 run-1
62 0 AP890713-0123  625 0.029763868 run-1
62 0 AP891201-0038  626 0.029763868 run-1
62 0 AP890223-0186  627 0.029763868 run-1
62 0 AP890517-0024  628 0.029763868 run-1
62 0 AP890519-0194  629 0.028573312 run-1
62 0 AP891220-0146  630 0.028573312 run-1
62 0 AP890104-0076  631 0.028573312 run-1
62 0 AP890802-0042  632 0.028573312 run-1
62 0 AP890315-0042  633 0.028573312 run-1
62 0 AP890106-0194  634 0.028573312 run-1
62 0 AP890526-0122  635 0.028573312 run-1
62 0 AP890530-0016  636 0.028573312 run-1
62 0 AP890530-0058  637 0.028573312 run-1
62 0 AP890809-0073  638 0.028573312 run-1
62 0 AP890111-0206  639 0.028573312 run-1
62 0 AP890112-0147  640 0.028573312 run-1
62 0 AP890601-0015  641 0.028573312 run-1
62 0 AP890116-0032  642 0.028573312 run-1
62 0 AP890325-0070  643 0.028573312 run-1
62 0 AP890608-0123  644 0.028573312 run-1
62 0 AP890818-0117  645 0.028573312 run-1
62 0 AP890609-0046  646 0.028573312 run-1
62 0 AP890820-0034  647 0.028573312 run-1
62 0 AP890405-0019  648 0.028573312 run-1
62 0 AP890127-0204  649 0.028573312 run-1
62 0 AP890129-0063  650 0.028573312 run-1
62 0 AP890619-0164  651 0.028573312 run-1
62 0 AP890831-0150  652 0.028573312 run-1
62 0 AP890413-0080  653 0.028573312 run-1
62 0 AP890131-0230  654 0.028573312 run-1
62 0 AP891108-0016  655 0.028573312 run-1
62 0 AP890904-0021  656 0.028573312 run-1
62 0 AP890205-0021  657 0.028573312 run-1
62 0 AP890421-0015  658 0.028573312 run-1
62 0 AP890909-0140  659 0.028573312 run-1
62 0 AP890208-0231  660 0.028573312 run-1
62 0 AP890422-0061  661 0.028573312 run-1
62 0 AP890702-0018  662 0.028573312 run-1
62 0 AP890705-0159  663 0.028573312 run-1
62 0 AP890915-0134  664 0.028573312 run-1
62 0 AP890918-0095  665 0.028573312 run-1
62 0 AP890710-0083  666 0.028573312 run-1
62 0 AP890501-0114  667 0.028573312 run-1
62 0 AP890502-0026  668 0.028573312 run-1
62 0 AP890920-0126  669 0.028573312 run-1
62 0 AP890711-0160  670 0.028573312 run-1
62 0 AP890712-0196  671 0.028573312 run-1
62 0 AP890504-0042  672 0.028573312 run-1
62 0 AP890508-0194  673 0.028573312 run-1
62 0 AP890718-0008  674 0.028573312 run-1
62 0 AP890718-0070  675 0.028573312 run-1
62 0 AP891207-0075  676 0.028573312 run-1
62 0 AP890720-0002  677 0.028573312 run-1
62 0 AP890301-0191  678 0.028573312 run-1
62 0 AP890302-0160  679 0.028573312 run-1
62 0 AP891002-0289  680 0.028573312 run-1
62 0 AP890306-0128  681 0.028573312 run-1
62 0 AP891216-0036  682 0.028573312 run-1
62 0 AP890727-0165  683 0.028573312 run-1
62 0 AP891007-0033  684 0.028573312 run-1
62 0 AP891218-0188  685 0.028573312 run-1
62 0 AP890118-0249  686 0.027515043 run-1
62 0 AP891203-0010  687 0.027515043 run-1
62 0 AP890227-0220  688 0.026783654 run-1
62 0 AP890514-0043  689 0.026783654 run-1
62 0 AP890310-0164  690 0.026456771 run-1
62 0 AP890729-0120  691 0.026456771 run-1
62 0 AP890730-0002  692 0.026456771 run-1
62 0 AP890104-0053  693 0.026456771 run-1
62 0 AP891221-0008  694 0.026456771 run-1
62 0 AP891221-0075  695 0.026456771 run-1
62 0 AP891221-0145  696 0.026456771 run-1
62 0 AP891221-0153  697 0.026456771 run-1
62 0 AP891012-0152  698 0.026456771 run-1
62 0 AP891222-0174  699 0.026456771 run-1
62 0 AP890106-0089  700 0.026456771 run-1
62 0 AP890315-0108  701 0.026456771 run-1
62 0 AP890315-0148  702 0.026456771 run-1
62 0 AP891014-0121  703 0.026456771 run-1
62 0 AP890109-0041  704 0.026456771 run-1
62 0 AP890316-0193  705 0.026456771 run-1
62 0 AP891227-0020  706 0.026456771 run-1
62 0 AP890317-0028  707 0.026456771 run-1
62 0 AP890317-0136  708 0.026456771 run-1
62 0 AP890110-0096  709 0.026456771 run-1
62 0 AP890110-0216  710 0.026456771 run-1
62 0 AP891229-0022  711 0.026456771 run-1
62 0 AP890529-0120  712 0.026456771 run-1
62 0 AP890808-0115  713 0.026456771 run-1
62 0 AP891229-0147  714 0.026456771 run-1
62 0 AP890530-0180  715 0.026456771 run-1
62 0 AP890111-0167  716 0.026456771 run-1
62 0 AP890111-0216  717 0.026456771 run-1
62 0 AP891230-0078  718 0.026456771 run-1
62 0 AP891019-0051  719 0.026456771 run-1
62 0 AP891019-0174  720 0.026456771 run-1
62 0 AP890810-0042  721 0.026456771 run-1
62 0 AP891020-0198  722 0.026456771 run-1
62 0 AP890811-0094  723 0.026456771 run-1
62 0 AP891021-0039  724 0.026456771 run-1
62 0 AP891021-0076  725 0.026456771 run-1
62 0 AP891021-0138  726 0.026456771 run-1
62 0 AP890115-0023  727 0.026456771 run-1
62 0 AP890813-0008  728 0.026456771 run-1
62 0 AP890813-0009  729 0.026456771 run-1
62 0 AP890115-0071  730 0.026456771 run-1
62 0 AP890324-0026  731 0.026456771 run-1
62 0 AP890116-0110  732 0.026456771 run-1
62 0 AP890116-0155  733 0.026456771 run-1
62 0 AP890325-0024  734 0.026456771 run-1
62 0 AP890117-0122  735 0.026456771 run-1
62 0 AP890815-0069  736 0.026456771 run-1
62 0 AP890606-0125  737 0.026456771 run-1
62 0 AP890816-0114  738 0.026456771 run-1
62 0 AP890816-0178  739 0.026456771 run-1
62 0 AP890119-0105  740 0.026456771 run-1
62 0 AP890329-0079  741 0.026456771 run-1
62 0 AP890329-0188  742 0.026456771 run-1
62 0 AP890818-0140  743 0.026456771 run-1
62 0 AP890608-0204  744 0.026456771 run-1
62 0 AP890819-0132  745 0.026456771 run-1
62 0 AP890819-0134  746 0.026456771 run-1
62 0 AP890822-0024  747 0.026456771 run-1
62 0 AP891030-0104  748 0.026456771 run-1
62 0 AP891030-0120  749 0.026456771 run-1
62 0 AP890822-0104  750 0.026456771 run-1
62 0 AP890405-0078  751 0.026456771 run-1
62 0 AP890405-0115  752 0.026456771 run-1
62 0 AP891031-0143  753 0.026456771 run-1
62 0 AP890823-0164  754 0.026456771 run-1
62 0 AP890124-0218  755 0.026456771 run-1
62 0 AP890614-0134  756 0.026456771 run-1
62 0 AP890125-0172  757 0.026456771 run-1
62 0 AP890125-0213  758 0.026456771 run-1
62 0 AP890825-0090  759 0.026456771 run-1
62 0 AP891102-0155  760 0.026456771 run-1
62 0 AP890126-0164  761 0.026456771 run-1
62 0 AP890616-0067  762 0.026456771 run-1
62 0 AP890827-0052  763 0.026456771 run-1
62 0 AP891103-0153  764 0.026456771 run-1
62 0 AP890828-0088  765 0.026456771 run-1
62 0 AP890410-0031  766 0.026456771 run-1
62 0 AP890617-0080  767 0.026456771 run-1
62 0 AP890617-0103  768 0.026456771 run-1
62 0 AP891104-0117  769 0.026456771 run-1
62 0 AP891105-0018  770 0.026456771 run-1
62 0 AP891105-0058  771 0.026456771 run-1
62 0 AP891106-0111  772 0.026456771 run-1
62 0 AP891106-0120  773 0.026456771 run-1
62 0 AP890130-0176  774 0.026456771 run-1
62 0 AP890831-0120  775 0.026456771 run-1
62 0 AP890413-0185  776 0.026456771 run-1
62 0 AP890414-0030  777 0.026456771 run-1
62 0 AP891109-0135  778 0.026456771 run-1
62 0 AP890903-0002  779 0.026456771 run-1
62 0 AP890202-0191  780 0.026456771 run-1
62 0 AP890416-0010  781 0.026456771 run-1
62 0 AP890623-0069  782 0.026456771 run-1
62 0 AP890416-0013  783 0.026456771 run-1
62 0 AP890905-0046  784 0.026456771 run-1
62 0 AP890417-0085  785 0.026456771 run-1
62 0 AP890906-0163  786 0.026456771 run-1
62 0 AP890906-0208  787 0.026456771 run-1
62 0 AP890907-0103  788 0.026456771 run-1
62 0 AP890627-0104  789 0.026456771 run-1
62 0 AP890909-0138  790 0.026456771 run-1
62 0 AP890421-0177  791 0.026456771 run-1
62 0 AP890911-0103  792 0.026456771 run-1
62 0 AP890422-0018  793 0.026456771 run-1
62 0 AP890422-0050  794 0.026456771 run-1
62 0 AP890422-0053  795 0.026456771 run-1
62 0 AP890422-0059  796 0.026456771 run-1
62 0 AP890630-0089  797 0.026456771 run-1
62 0 AP890912-0167  798 0.026456771 run-1
62 0 AP890701-0068  799 0.026456771 run-1
62 0 AP890912-0199  800 0.026456771 run-1
62 0 AP891120-0152  801 0.026456771 run-1
62 0 AP891121-0182  802 0.026456771 run-1
62 0 AP890214-0123  803 0.026456771 run-1
62 0 AP890427-0078  804 0.026456771 run-1
62 0 AP891122-0201  805 0.026456771 run-1
62 0 AP890427-0170  806 0.026456771 run-1
62 0 AP891123-0106  807 0.026456771 run-1
62 0 AP890428-0094  808 0.026456771 run-1
62 0 AP890428-0231  809 0.026456771 run-1
62 0 AP890216-0148  810 0.026456771 run-1
62 0 AP890430-0058  811 0.026456771 run-1
62 0 AP890710-0081  812 0.026456771 run-1
62 0 AP890920-0052  813 0.026456771 run-1
62 0 AP890220-0120  814 0.026456771 run-1
62 0 AP891128-0094  815 0.026456771 run-1
62 0 AP890711-0152  816 0.026456771 run-1
62 0 AP890921-0164  817 0.026456771 run-1
62 0 AP890712-0064  818 0.026456771 run-1
62 0 AP890222-0003  819 0.026456771 run-1
62 0 AP890504-0079  820 0.026456771 run-1
62 0 AP890222-0229  821 0.026456771 run-1
62 0 AP890504-0146  822 0.026456771 run-1
62 0 AP890714-0014  823 0.026456771 run-1
62 0 AP890223-0116  824 0.026456771 run-1
62 0 AP890223-0200  825 0.026456771 run-1
62 0 AP890716-0066  826 0.026456771 run-1
62 0 AP890508-0104  827 0.026456771 run-1
62 0 AP890508-0116  828 0.026456771 run-1
62 0 AP891206-0028  829 0.026456771 run-1
62 0 AP890508-0209  830 0.026456771 run-1
62 0 AP890927-0136  831 0.026456771 run-1
62 0 AP890718-0166  832 0.026456771 run-1
62 0 AP890510-0080  833 0.026456771 run-1
62 0 AP891211-0137  834 0.026456771 run-1
62 0 AP891002-0052  835 0.026456771 run-1
62 0 AP890514-0011  836 0.026456771 run-1
62 0 AP891213-0136  837 0.026456771 run-1
62 0 AP891213-0144  838 0.026456771 run-1
62 0 AP890515-0193  839 0.026456771 run-1
62 0 AP890515-0202  840 0.026456771 run-1
62 0 AP891004-0188  841 0.026456771 run-1
62 0 AP891004-0215  842 0.026456771 run-1
62 0 AP890516-0115  843 0.026456771 run-1
62 0 AP890725-0232  844 0.026456771 run-1
62 0 AP890516-0172  845 0.026456771 run-1
62 0 AP890517-0151  846 0.026456771 run-1
62 0 AP891215-0196  847 0.026456771 run-1
62 0 AP890308-0001  848 0.026456771 run-1
62 0 AP890309-0053  849 0.026456771 run-1
62 0 AP891007-0064  850 0.026456771 run-1
62 0 AP891007-0124  851 0.026456771 run-1
62 0 AP890729-0060  852 0.025927635 run-1
62 0 AP891220-0021  853 0.025927635 run-1
62 0 AP891220-0124  854 0.025927635 run-1
62 0 AP891220-0134  855 0.025927635 run-1
62 0 AP890522-0158  856 0.025927635 run-1
62 0 AP890311-0140  857 0.025927635 run-1
62 0 AP890312-0036  858 0.025927635 run-1
62 0 AP890312-0075  859 0.025927635 run-1
62 0 AP891221-0146  860 0.025927635 run-1
62 0 AP890523-0172  861 0.025927635 run-1
62 0 AP890314-0045  862 0.025927635 run-1
62 0 AP890802-0101  863 0.025927635 run-1
62 0 AP890314-0105  864 0.025927635 run-1
62 0 AP891012-0225  865 0.025927635 run-1
62 0 AP890524-0095  866 0.025927635 run-1
62 0 AP891222-0177  867 0.025927635 run-1
62 0 AP890525-0019  868 0.025927635 run-1
62 0 AP891014-0038  869 0.025927635 run-1
62 0 AP890315-0178  870 0.025927635 run-1
62 0 AP891224-0059  871 0.025927635 run-1
62 0 AP891224-0064  872 0.025927635 run-1
62 0 AP890315-0217  873 0.025927635 run-1
62 0 AP891225-0006  874 0.025927635 run-1
62 0 AP890525-0153  875 0.025927635 run-1
62 0 AP891225-0054  876 0.025927635 run-1
62 0 AP891015-0051  877 0.025927635 run-1
62 0 AP891016-0164  878 0.025927635 run-1
62 0 AP890805-0070  879 0.025927635 run-1
62 0 AP890110-0012  880 0.025927635 run-1
62 0 AP891018-0171  881 0.025927635 run-1
62 0 AP890530-0069  882 0.025927635 run-1
62 0 AP891229-0138  883 0.025927635 run-1
62 0 AP891019-0025  884 0.025927635 run-1
62 0 AP890320-0120  885 0.025927635 run-1
62 0 AP890531-0173  886 0.025927635 run-1
62 0 AP890810-0071  887 0.025927635 run-1
62 0 AP890113-0123  888 0.025927635 run-1
62 0 AP891020-0204  889 0.025927635 run-1
62 0 AP891020-0235  890 0.025927635 run-1
62 0 AP890323-0166  891 0.025927635 run-1
62 0 AP890812-0079  892 0.025927635 run-1
62 0 AP890324-0120  893 0.025927635 run-1
62 0 AP890814-0139  894 0.025927635 run-1
62 0 AP890117-0026  895 0.025927635 run-1
62 0 AP890603-0122  896 0.025927635 run-1
62 0 AP890604-0011  897 0.025927635 run-1
62 0 AP890815-0039  898 0.025927635 run-1
62 0 AP890325-0128  899 0.025927635 run-1
62 0 AP890815-0102  900 0.025927635 run-1
62 0 AP890326-0015  901 0.025927635 run-1
62 0 AP890605-0103  902 0.025927635 run-1
62 0 AP891024-0201  903 0.025927635 run-1
62 0 AP890816-0055  904 0.025927635 run-1
62 0 AP890118-0192  905 0.025927635 run-1
62 0 AP890119-0042  906 0.025927635 run-1
62 0 AP890607-0153  907 0.025927635 run-1
62 0 AP890608-0155  908 0.025927635 run-1
62 0 AP891027-0168  909 0.025927635 run-1
62 0 AP890610-0054  910 0.025927635 run-1
62 0 AP890403-0087  911 0.025927635 run-1
62 0 AP890612-0020  912 0.025927635 run-1
62 0 AP890123-0114  913 0.025927635 run-1
62 0 AP890613-0178  914 0.025927635 run-1
62 0 AP890406-0097  915 0.025927635 run-1
62 0 AP890614-0099  916 0.025927635 run-1
62 0 AP890125-0065  917 0.025927635 run-1
62 0 AP890406-0166  918 0.025927635 run-1
62 0 AP891102-0066  919 0.025927635 run-1
62 0 AP890615-0098  920 0.025927635 run-1
62 0 AP891102-0156  921 0.025927635 run-1
62 0 AP890407-0194  922 0.025927635 run-1
62 0 AP890616-0033  923 0.025927635 run-1
62 0 AP890409-0006  924 0.025927635 run-1
62 0 AP891104-0108  925 0.025927635 run-1
62 0 AP890618-0041  926 0.025927635 run-1
62 0 AP890829-0173  927 0.025927635 run-1
62 0 AP890411-0045  928 0.025927635 run-1
62 0 AP890129-0043  929 0.025927635 run-1
62 0 AP891106-0137  930 0.025927635 run-1
62 0 AP890619-0160  931 0.025927635 run-1
62 0 AP890412-0201  932 0.025927635 run-1
62 0 AP890621-0059  933 0.025927635 run-1
62 0 AP890413-0142  934 0.025927635 run-1
62 0 AP890621-0074  935 0.025927635 run-1
62 0 AP890901-0077  936 0.025927635 run-1
62 0 AP890621-0157  937 0.025927635 run-1
62 0 AP891108-0123  938 0.025927635 run-1
62 0 AP891108-0219  939 0.025927635 run-1
62 0 AP890901-0249  940 0.025927635 run-1
62 0 AP890414-0133  941 0.025927635 run-1
62 0 AP890414-0150  942 0.025927635 run-1
62 0 AP890414-0184  943 0.025927635 run-1
62 0 AP890414-0202  944 0.025927635 run-1
62 0 AP890622-0175  945 0.025927635 run-1
62 0 AP891109-0116  946 0.025927635 run-1
62 0 AP891109-0136  947 0.025927635 run-1
62 0 AP890904-0026  948 0.025927635 run-1
62 0 AP890202-0184  949 0.025927635 run-1
62 0 AP890904-0105  950 0.025927635 run-1
62 0 AP890416-0040  951 0.025927635 run-1
62 0 AP890905-0112  952 0.025927635 run-1
62 0 AP890624-0014  953 0.025927635 run-1
62 0 AP890203-0169  954 0.025927635 run-1
62 0 AP891111-0065  955 0.025927635 run-1
62 0 AP890204-0122  956 0.025927635 run-1
62 0 AP890906-0210  957 0.025927635 run-1
62 0 AP890906-0222  958 0.025927635 run-1
62 0 AP891113-0124  959 0.025927635 run-1
62 0 AP891113-0183  960 0.025927635 run-1
62 0 AP890206-0089  961 0.025927635 run-1
62 0 AP890908-0142  962 0.025927635 run-1
62 0 AP890628-0083  963 0.025927635 run-1
62 0 AP890207-0192  964 0.025927635 run-1
62 0 AP890628-0167  965 0.025927635 run-1
62 0 AP890208-0005  966 0.025927635 run-1
62 0 AP890420-0266  967 0.025927635 run-1
62 0 AP890208-0131  968 0.025927635 run-1
62 0 AP891116-0106  969 0.025927635 run-1
62 0 AP890911-0080  970 0.025927635 run-1
62 0 AP890630-0024  971 0.025927635 run-1
62 0 AP890209-0096  972 0.025927635 run-1
62 0 AP890422-0067  973 0.025927635 run-1
62 0 AP891117-0067  974 0.025927635 run-1
62 0 AP890209-0192  975 0.025927635 run-1
62 0 AP890423-0068  976 0.025927635 run-1
62 0 AP890210-0187  977 0.025927635 run-1
62 0 AP890701-0118  978 0.025927635 run-1
62 0 AP890703-0036  979 0.025927635 run-1
62 0 AP891120-0044  980 0.025927635 run-1
62 0 AP890211-0156  981 0.025927635 run-1
62 0 AP890704-0018  982 0.025927635 run-1
62 0 AP890914-0088  983 0.025927635 run-1
62 0 AP890914-0114  984 0.025927635 run-1
62 0 AP890914-0138  985 0.025927635 run-1
62 0 AP890914-0142  986 0.025927635 run-1
62 0 AP890704-0124  987 0.025927635 run-1
62 0 AP890915-0171  988 0.025927635 run-1
62 0 AP891122-0212  989 0.025927635 run-1
62 0 AP891122-0219  990 0.025927635 run-1
62 0 AP890706-0186  991 0.025927635 run-1
62 0 AP891123-0126  992 0.025927635 run-1
62 0 AP891124-0027  993 0.025927635 run-1
62 0 AP890428-0238  994 0.025927635 run-1
62 0 AP891125-0031  995 0.025927635 run-1
62 0 AP891125-0033  996 0.025927635 run-1
62 0 AP890708-0090  997 0.025927635 run-1
62 0 AP890708-0106  998 0.025927635 run-1
62 0 AP891125-0082  999 0.025927635 run-1
62 0 AP890708-0138  1000 0.025927635 run-1
63 0 AP890508-0044  1 0.24271473 run-1
63 0 AP890903-0086  2 0.19813448 run-1
63 0 AP890104-0274  3 0.14265682 run-1
63 0 AP891130-0093  4 0.10699262 run-1
63 0 AP890314-0090  5 0.10699262 run-1
63 0 AP890905-0089  6 0.09906724 run-1
63 0 AP890122-0081  7 0.09906724 run-1
63 0 AP891101-0223  8 0.09906724 run-1
63 0 AP890911-0285  9 0.09807657 run-1
63 0 AP890620-0111  10 0.09807657 run-1
63 0 AP890801-0222  11 0.09708589 run-1
63 0 AP890920-0051  12 0.09510455 run-1
63 0 AP890705-0209  13 0.076936126 run-1
63 0 AP890622-0041  14 0.0753974 run-1
63 0 AP890825-0130  15 0.07430043 run-1
63 0 AP890127-0015  16 0.07430043 run-1
63 0 AP890522-0064  17 0.07281442 run-1
63 0 AP890701-0104  18 0.07281442 run-1
63 0 AP890328-0087  19 0.07132841 run-1
63 0 AP890421-0155  20 0.07132841 run-1
63 0 AP891211-0014  21 0.07132841 run-1
63 0 AP890503-0016  22 0.07132841 run-1
63 0 AP891129-0101  23 0.07132841 run-1
63 0 AP890515-0040  24 0.06924251 run-1
63 0 AP890513-0043  25 0.06340303 run-1
63 0 AP891015-0072  26 0.062412363 run-1
63 0 AP890322-0184  27 0.062412363 run-1
63 0 AP890327-0171  28 0.062412363 run-1
63 0 AP891121-0035  29 0.060678683 run-1
63 0 AP890728-0035  30 0.060678683 run-1
63 0 AP890831-0127  31 0.05572532 run-1
63 0 AP890317-0141  32 0.05539401 run-1
63 0 AP890515-0054  33 0.05539401 run-1
