51 0 AP890908-0122  1 0.21424866 myalgo-run-1
62 0 AP890501-0085  898 0.033864666 myalgo-run-1
62 0 AP890505-0164  899 0.033864666 myalgo-run-1
62 0 AP890511-0079  900 0.033864666 myalgo-run-1
62 0 AP890516-0006  901 0.033864666 myalgo-run-1
62 0 AP890519-0146  902 0.033864666 myalgo-run-1
62 0 AP890530-0105  903 0.033864666 myalgo-run-1
62 0 AP890617-0035  904 0.033864666 myalgo-run-1
62 0 AP890618-0015  905 0.033864666 myalgo-run-1
62 0 AP890620-0136  906 0.033864666 myalgo-run-1
62 0 AP890621-0103  907 0.033864666 myalgo-run-1
62 0 AP890630-0193  908 0.033864666 myalgo-run-1
62 0 AP890701-0026  909 0.033864666 myalgo-run-1
62 0 AP890703-0190  910 0.033864666 myalgo-run-1
62 0 AP890714-0144  911 0.033864666 myalgo-run-1
62 0 AP890717-0165  912 0.033864666 myalgo-run-1
62 0 AP890726-0272  913 0.033864666 myalgo-run-1
62 0 AP890731-0016  914 0.033864666 myalgo-run-1
62 0 AP890801-0168  915 0.033864666 myalgo-run-1
62 0 AP890809-0118  916 0.033864666 myalgo-run-1
62 0 AP890810-0075  917 0.033864666 myalgo-run-1
62 0 AP890818-0169  918 0.033864666 myalgo-run-1
62 0 AP890821-0030  919 0.033864666 myalgo-run-1
62 0 AP890824-0108  920 0.033864666 myalgo-run-1
62 0 AP890828-0183  921 0.033864666 myalgo-run-1
62 0 AP890902-0162  922 0.033864666 myalgo-run-1
62 0 AP890908-0067  923 0.033864666 myalgo-run-1
62 0 AP890908-0180  924 0.033864666 myalgo-run-1
62 0 AP890919-0185  925 0.033864666 myalgo-run-1
62 0 AP890920-0163  926 0.033864666 myalgo-run-1
62 0 AP890922-0114  927 0.033864666 myalgo-run-1
62 0 AP890929-0083  928 0.033864666 myalgo-run-1
62 0 AP891004-0216  929 0.033864666 myalgo-run-1
62 0 AP891005-0137  930 0.033864666 myalgo-run-1
62 0 AP890427-0184  931 0.033449586 myalgo-run-1
62 0 AP890106-0080  932 0.033335533 myalgo-run-1
62 0 AP890428-0014  933 0.033335533 myalgo-run-1
62 0 AP890609-0154  934 0.033335533 myalgo-run-1
62 0 AP890707-0173  935 0.033335533 myalgo-run-1
62 0 AP890727-0030  936 0.033335533 myalgo-run-1
62 0 AP890809-0198  937 0.033335533 myalgo-run-1
62 0 AP890902-0055  938 0.033335533 myalgo-run-1
62 0 AP890102-0039  939 0.03319301 myalgo-run-1
62 0 AP890112-0197  940 0.03319301 myalgo-run-1
62 0 AP891109-0088  941 0.03319301 myalgo-run-1
62 0 AP890314-0249  942 0.03319301 myalgo-run-1
62 0 AP890401-0018  943 0.03319301 myalgo-run-1
62 0 AP890406-0076  944 0.03319301 myalgo-run-1
62 0 AP890519-0154  945 0.03319301 myalgo-run-1
62 0 AP891218-0187  946 0.033070963 myalgo-run-1
62 0 AP890613-0078  947 0.033070963 myalgo-run-1
62 0 AP890624-0128  948 0.033070963 myalgo-run-1
62 0 AP890819-0081  949 0.033070963 myalgo-run-1
62 0 AP890829-0189  950 0.032876857 myalgo-run-1
62 0 AP890803-0004  951 0.032862227 myalgo-run-1
62 0 AP891006-0228  952 0.032862227 myalgo-run-1
62 0 AP890103-0248  953 0.032850813 myalgo-run-1
62 0 AP891013-0077  954 0.032850813 myalgo-run-1
62 0 AP890110-0118  955 0.032850813 myalgo-run-1
62 0 AP890111-0263  956 0.032850813 myalgo-run-1
62 0 AP891019-0189  957 0.032850813 myalgo-run-1
62 0 AP890112-0248  958 0.032850813 myalgo-run-1
62 0 AP890113-0106  959 0.032850813 myalgo-run-1
62 0 AP890113-0164  960 0.032850813 myalgo-run-1
62 0 AP890113-0247  961 0.032850813 myalgo-run-1
62 0 AP890115-0022  962 0.032850813 myalgo-run-1
62 0 AP890116-0213  963 0.032850813 myalgo-run-1
62 0 AP890119-0190  964 0.032850813 myalgo-run-1
62 0 AP891026-0193  965 0.032850813 myalgo-run-1
62 0 AP890121-0069  966 0.032850813 myalgo-run-1
62 0 AP890123-0014  967 0.032850813 myalgo-run-1
62 0 AP890127-0112  968 0.032850813 myalgo-run-1
62 0 AP890130-0150  969 0.032850813 myalgo-run-1
62 0 AP891107-0165  970 0.032850813 myalgo-run-1
62 0 AP890203-0073  971 0.032850813 myalgo-run-1
62 0 AP890206-0184  972 0.032850813 myalgo-run-1
62 0 AP890207-0022  973 0.032850813 myalgo-run-1
62 0 AP890208-0109  974 0.032850813 myalgo-run-1
62 0 AP890208-0278  975 0.032850813 myalgo-run-1
62 0 AP890209-0113  976 0.032850813 myalgo-run-1
62 0 AP890210-0277  977 0.032850813 myalgo-run-1
62 0 AP890211-0024  978 0.032850813 myalgo-run-1
62 0 AP891120-0115  979 0.032850813 myalgo-run-1
62 0 AP891120-0214  980 0.032850813 myalgo-run-1
62 0 AP891122-0242  981 0.032850813 myalgo-run-1
62 0 AP890217-0166  982 0.032850813 myalgo-run-1
62 0 AP891204-0018  983 0.032850813 myalgo-run-1
62 0 AP891206-0206  984 0.032850813 myalgo-run-1
62 0 AP890228-0011  985 0.032850813 myalgo-run-1
62 0 AP890301-0184  986 0.032850813 myalgo-run-1
62 0 AP890304-0137  987 0.032850813 myalgo-run-1
62 0 AP891218-0262  988 0.032850813 myalgo-run-1
62 0 AP890314-0286  989 0.032850813 myalgo-run-1
62 0 AP890316-0217  990 0.032850813 myalgo-run-1
62 0 AP890325-0017  991 0.032850813 myalgo-run-1
62 0 AP890330-0220  992 0.032850813 myalgo-run-1
62 0 AP890411-0096  993 0.032850813 myalgo-run-1
62 0 AP890411-0207  994 0.032850813 myalgo-run-1
62 0 AP890412-0121  995 0.032850813 myalgo-run-1
62 0 AP890426-0287  996 0.032850813 myalgo-run-1
62 0 AP890501-0219  997 0.032850813 myalgo-run-1
62 0 AP890502-0142  998 0.032850813 myalgo-run-1
62 0 AP890507-0023  999 0.032850813 myalgo-run-1
62 0 AP890507-0027  1000 0.032850813 myalgo-run-1
63 0 AP890508-0044  1 0.24271473 myalgo-run-1
63 0 AP890207-0122  2 0.18671069 myalgo-run-1
63 0 AP890104-0274  3 0.14265682 myalgo-run-1
63 0 AP890816-0024  4 0.1296602 myalgo-run-1
63 0 AP890906-0133  5 0.12434307 myalgo-run-1
63 0 AP890315-0290  6 0.11513247 myalgo-run-1
63 0 AP891130-0093  7 0.10699262 myalgo-run-1
63 0 AP890314-0090  8 0.10699262 myalgo-run-1
63 0 AP890424-0095  9 0.1016536 myalgo-run-1
63 0 AP890921-0247  10 0.10131658 myalgo-run-1
63 0 AP890122-0081  11 0.09906724 myalgo-run-1
63 0 AP891101-0223  12 0.09906724 myalgo-run-1
63 0 AP890905-0089  13 0.09906724 myalgo-run-1
63 0 AP890620-0111  14 0.09807657 myalgo-run-1
63 0 AP890911-0285  15 0.09807657 myalgo-run-1
63 0 AP890801-0222  16 0.09708589 myalgo-run-1
63 0 AP890920-0051  17 0.09510455 myalgo-run-1
63 0 AP890323-0105  18 0.08634935 myalgo-run-1
63 0 AP890324-0056  19 0.08634935 myalgo-run-1
63 0 AP890521-0048  20 0.08462237 myalgo-run-1
63 0 AP890301-0312  21 0.08462237 myalgo-run-1
63 0 AP891213-0237  22 0.08462237 myalgo-run-1
63 0 AP890816-0254  23 0.08462237 myalgo-run-1
63 0 AP890728-0198  24 0.082982525 myalgo-run-1
63 0 AP890422-0133  25 0.082982525 myalgo-run-1
63 0 AP890716-0101  26 0.08289538 myalgo-run-1
63 0 AP890306-0304  27 0.08289538 myalgo-run-1
63 0 AP890315-0148  28 0.07779612 myalgo-run-1
63 0 AP890406-0194  29 0.07779612 myalgo-run-1
63 0 AP890619-0182  30 0.07771442 myalgo-run-1
63 0 AP890811-0091  31 0.07771442 myalgo-run-1
63 0 AP890705-0209  32 0.076936126 myalgo-run-1
63 0 AP890211-0129  33 0.0762402 myalgo-run-1
63 0 AP890622-0041  34 0.0753974 myalgo-run-1
63 0 AP890130-0076  35 0.07468428 myalgo-run-1
63 0 AP890210-0167  36 0.07468428 myalgo-run-1
63 0 AP890914-0108  37 0.07468428 myalgo-run-1
63 0 AP890825-0130  38 0.07430043 myalgo-run-1
63 0 AP891113-0237  39 0.07368478 myalgo-run-1
63 0 AP890216-0153  40 0.07368478 myalgo-run-1
63 0 AP890522-0064  41 0.07281442 myalgo-run-1
63 0 AP890701-0104  42 0.07281442 myalgo-run-1
63 0 AP890117-0238  43 0.0719578 myalgo-run-1
63 0 AP890127-0159  44 0.0719578 myalgo-run-1
63 0 AP891211-0014  45 0.07132841 myalgo-run-1
63 0 AP890328-0087  46 0.07132841 myalgo-run-1
63 0 AP890421-0155  47 0.07132841 myalgo-run-1
63 0 AP890503-0016  48 0.07132841 myalgo-run-1
63 0 AP891214-0098  49 0.071313106 myalgo-run-1
63 0 AP890105-0263  50 0.07051864 myalgo-run-1
63 0 AP890314-0032  51 0.07051864 myalgo-run-1
63 0 AP890515-0040  52 0.06924251 myalgo-run-1
63 0 AP890505-0221  53 0.06908844 myalgo-run-1
63 0 AP890106-0047  54 0.067352496 myalgo-run-1
63 0 AP890215-0199  55 0.06638602 myalgo-run-1
63 0 AP890708-0136  56 0.06638602 myalgo-run-1
63 0 AP890501-0245  57 0.06638602 myalgo-run-1
63 0 AP890617-0089  58 0.06534874 myalgo-run-1
63 0 AP890725-0124  59 0.06534874 myalgo-run-1
63 0 AP890327-0190  60 0.06476202 myalgo-run-1
63 0 AP890922-0254  61 0.06476202 myalgo-run-1
63 0 AP891018-0246  62 0.06447419 myalgo-run-1
63 0 AP891114-0250  63 0.06447419 myalgo-run-1
63 0 AP890212-0011  64 0.06447419 myalgo-run-1
63 0 AP890302-0314  65 0.06447419 myalgo-run-1
63 0 AP890722-0124  66 0.06447419 myalgo-run-1
63 0 AP890303-0187  67 0.06447419 myalgo-run-1
63 0 AP890724-0057  68 0.06447419 myalgo-run-1
63 0 AP891221-0211  69 0.06447419 myalgo-run-1
63 0 AP890829-0253  70 0.06447419 myalgo-run-1
63 0 AP890912-0279  71 0.06447419 myalgo-run-1
63 0 AP890917-0024  72 0.06447419 myalgo-run-1
63 0 AP890424-0003  73 0.0635335 myalgo-run-1
63 0 AP890425-0124  74 0.0635335 myalgo-run-1
63 0 AP890506-0014  75 0.0635335 myalgo-run-1
63 0 AP891010-0264  76 0.06346677 myalgo-run-1
63 0 AP890801-0229  77 0.06346677 myalgo-run-1
63 0 AP890513-0043  78 0.06340303 myalgo-run-1
63 0 AP891015-0072  79 0.062412363 myalgo-run-1
63 0 AP890322-0184  80 0.062412363 myalgo-run-1
63 0 AP890327-0171  81 0.062412363 myalgo-run-1
63 0 AP891012-0102  82 0.062171534 myalgo-run-1
63 0 AP890105-0253  83 0.062171534 myalgo-run-1
63 0 AP890301-0106  84 0.062171534 myalgo-run-1
63 0 AP890724-0065  85 0.062171534 myalgo-run-1
63 0 AP890829-0203  86 0.062171534 myalgo-run-1
63 0 AP890428-0015  87 0.062171534 myalgo-run-1
63 0 AP890728-0035  88 0.060678683 myalgo-run-1
63 0 AP890106-0147  89 0.057566237 myalgo-run-1
63 0 AP891023-0051  90 0.057566237 myalgo-run-1
63 0 AP890603-0141  91 0.057566237 myalgo-run-1
63 0 AP890227-0272  92 0.057566237 myalgo-run-1
63 0 AP891212-0045  93 0.057566237 myalgo-run-1
63 0 AP891225-0076  94 0.057566237 myalgo-run-1
63 0 AP890816-0263  95 0.057566237 myalgo-run-1
63 0 AP891003-0194  96 0.057566237 myalgo-run-1
63 0 AP890608-0137  97 0.056990575 myalgo-run-1
63 0 AP890918-0257  98 0.056990575 myalgo-run-1
63 0 AP890526-0254  99 0.05641491 myalgo-run-1
63 0 AP891019-0167  100 0.05641491 myalgo-run-1
63 0 AP890617-0143  101 0.05641491 myalgo-run-1
63 0 AP890221-0063  102 0.05641491 myalgo-run-1
63 0 AP890221-0292  103 0.05641491 myalgo-run-1
63 0 AP890713-0142  104 0.05641491 myalgo-run-1
63 0 AP891204-0021  105 0.05641491 myalgo-run-1
63 0 AP890718-0173  106 0.05641491 myalgo-run-1
63 0 AP890726-0238  107 0.05641491 myalgo-run-1
63 0 AP890311-0005  108 0.05641491 myalgo-run-1
63 0 AP890816-0235  109 0.05641491 myalgo-run-1
63 0 AP890926-0137  110 0.05641491 myalgo-run-1
63 0 AP890103-0109  111 0.056013204 myalgo-run-1
63 0 AP890130-0034  112 0.056013204 myalgo-run-1
63 0 AP890309-0274  113 0.056013204 myalgo-run-1
63 0 AP890505-0076  114 0.056013204 myalgo-run-1
63 0 AP890317-0141  115 0.05539401 myalgo-run-1
63 0 AP890515-0054  116 0.05539401 myalgo-run-1
63 0 AP890118-0178  117 0.055263586 myalgo-run-1
63 0 AP891104-0036  118 0.055263586 myalgo-run-1
63 0 AP890131-0153  119 0.055263586 myalgo-run-1
63 0 AP890210-0249  120 0.055263586 myalgo-run-1
63 0 AP890215-0054  121 0.055263586 myalgo-run-1
63 0 AP890418-0288  122 0.055263586 myalgo-run-1
63 0 AP890510-0094  123 0.055263586 myalgo-run-1
63 0 AP890510-0095  124 0.055263586 myalgo-run-1
63 0 AP891104-0039  125 0.05349631 myalgo-run-1
63 0 AP891203-0072  126 0.05349631 myalgo-run-1
63 0 AP890124-0034  127 0.05186408 myalgo-run-1
63 0 AP890307-0123  128 0.05186408 myalgo-run-1
63 0 AP890407-0012  129 0.05186408 myalgo-run-1
63 0 AP890905-0234  130 0.05186408 myalgo-run-1
63 0 AP890505-0289  131 0.05186408 myalgo-run-1
63 0 AP890930-0003  132 0.05186408 myalgo-run-1
63 0 AP890127-0290  133 0.051809613 myalgo-run-1
63 0 AP890929-0239  134 0.051809613 myalgo-run-1
63 0 AP890111-0142  135 0.0508268 myalgo-run-1
63 0 AP890616-0111  136 0.0508268 myalgo-run-1
63 0 AP890207-0216  137 0.0508268 myalgo-run-1
63 0 AP890731-0111  138 0.0508268 myalgo-run-1
63 0 AP890801-0223  139 0.0508268 myalgo-run-1
63 0 AP890410-0113  140 0.0508268 myalgo-run-1
63 0 AP890427-0150  141 0.0508268 myalgo-run-1
63 0 AP890511-0104  142 0.0508268 myalgo-run-1
63 0 AP890513-0112  143 0.0508268 myalgo-run-1
63 0 AP890515-0076  144 0.0508268 myalgo-run-1
63 0 AP890102-0115  145 0.049789514 myalgo-run-1
63 0 AP891025-0215  146 0.049789514 myalgo-run-1
63 0 AP890221-0314  147 0.049789514 myalgo-run-1
63 0 AP891206-0073  148 0.049789514 myalgo-run-1
63 0 AP891210-0009  149 0.049789514 myalgo-run-1
63 0 AP890307-0176  150 0.049789514 myalgo-run-1
63 0 AP891222-0078  151 0.049789514 myalgo-run-1
63 0 AP890803-0220  152 0.049789514 myalgo-run-1
63 0 AP890412-0123  153 0.049789514 myalgo-run-1
63 0 AP890413-0186  154 0.049789514 myalgo-run-1
63 0 AP891004-0018  155 0.049789514 myalgo-run-1
63 0 AP890525-0002  156 0.04953362 myalgo-run-1
63 0 AP890116-0063  157 0.04953362 myalgo-run-1
63 0 AP891123-0123  158 0.04953362 myalgo-run-1
63 0 AP890320-0193  159 0.04953362 myalgo-run-1
63 0 AP890425-0091  160 0.04953362 myalgo-run-1
63 0 AP891004-0154  161 0.04953362 myalgo-run-1
63 0 AP890602-0071  162 0.049363047 myalgo-run-1
63 0 AP890603-0119  163 0.049363047 myalgo-run-1
63 0 AP891024-0231  164 0.049363047 myalgo-run-1
63 0 AP890612-0103  165 0.049363047 myalgo-run-1
63 0 AP890809-0107  166 0.049363047 myalgo-run-1
63 0 AP890407-0082  167 0.049363047 myalgo-run-1
63 0 AP890928-0089  168 0.049239118 myalgo-run-1
63 0 AP891114-0159  169 0.048542947 myalgo-run-1
63 0 AP891115-0232  170 0.048542947 myalgo-run-1
63 0 AP890213-0254  171 0.048542947 myalgo-run-1
63 0 AP891128-0107  172 0.048542947 myalgo-run-1
63 0 AP890715-0119  173 0.048542947 myalgo-run-1
63 0 AP890318-0040  174 0.048542947 myalgo-run-1
63 0 AP890809-0113  175 0.048542947 myalgo-run-1
63 0 AP890424-0096  176 0.048542947 myalgo-run-1
63 0 AP890913-0281  177 0.048542947 myalgo-run-1
63 0 AP891006-0257  178 0.048542947 myalgo-run-1
63 0 AP891005-0254  179 0.048085075 myalgo-run-1
63 0 AP890109-0126  180 0.04797808 myalgo-run-1
63 0 AP890627-0061  181 0.04797808 myalgo-run-1
63 0 AP890325-0118  182 0.04797808 myalgo-run-1
63 0 AP890907-0053  183 0.04797808 myalgo-run-1
63 0 AP890622-0210  184 0.047552276 myalgo-run-1
63 0 AP891213-0081  185 0.047552276 myalgo-run-1
63 0 AP890525-0072  186 0.04701852 myalgo-run-1
63 0 AP890111-0155  187 0.04701852 myalgo-run-1
63 0 AP891019-0207  188 0.04701852 myalgo-run-1
63 0 AP890623-0257  189 0.04701852 myalgo-run-1
63 0 AP890703-0081  190 0.04701852 myalgo-run-1
63 0 AP890715-0085  191 0.04701852 myalgo-run-1
63 0 AP890319-0014  192 0.04701852 myalgo-run-1
63 0 AP890329-0038  193 0.04701852 myalgo-run-1
63 0 AP890508-0126  194 0.04701852 myalgo-run-1
63 0 AP890514-0017  195 0.04701852 myalgo-run-1
63 0 AP890601-0332  196 0.046772566 myalgo-run-1
63 0 AP890501-0225  197 0.046772566 myalgo-run-1
63 0 AP890113-0083  198 0.04667767 myalgo-run-1
63 0 AP891216-0124  199 0.04667767 myalgo-run-1
63 0 AP890411-0133  200 0.04667767 myalgo-run-1
63 0 AP890502-0083  201 0.04667767 myalgo-run-1
63 0 AP890503-0099  202 0.04667767 myalgo-run-1
63 0 AP891010-0279  203 0.04662865 myalgo-run-1
63 0 AP890317-0207  204 0.04662865 myalgo-run-1
63 0 AP890817-0042  205 0.04662865 myalgo-run-1
63 0 AP890423-0030  206 0.04662865 myalgo-run-1
63 0 AP890504-0194  207 0.04662865 myalgo-run-1
63 0 AP891216-0093  208 0.046058957 myalgo-run-1
63 0 AP891010-0008  209 0.04605299 myalgo-run-1
63 0 AP890130-0104  210 0.04605299 myalgo-run-1
63 0 AP890623-0244  211 0.04605299 myalgo-run-1
63 0 AP890206-0235  212 0.04605299 myalgo-run-1
63 0 AP891115-0134  213 0.04605299 myalgo-run-1
63 0 AP890704-0157  214 0.04605299 myalgo-run-1
63 0 AP890227-0210  215 0.04605299 myalgo-run-1
63 0 AP890308-0288  216 0.04605299 myalgo-run-1
63 0 AP890906-0061  217 0.04605299 myalgo-run-1
63 0 AP890921-0086  218 0.04605299 myalgo-run-1
63 0 AP890921-0186  219 0.04605299 myalgo-run-1
63 0 AP890922-0199  220 0.04605299 myalgo-run-1
63 0 AP890518-0149  221 0.04605299 myalgo-run-1
63 0 AP890408-0099  222 0.04564039 myalgo-run-1
63 0 AP890412-0217  223 0.04538107 myalgo-run-1
63 0 AP891025-0281  224 0.04458026 myalgo-run-1
63 0 AP890609-0185  225 0.04458026 myalgo-run-1
63 0 AP890831-0261  226 0.04458026 myalgo-run-1
63 0 AP891010-0176  227 0.043174677 myalgo-run-1
63 0 AP890523-0121  228 0.043174677 myalgo-run-1
63 0 AP890602-0002  229 0.043174677 myalgo-run-1
63 0 AP890118-0135  230 0.043174677 myalgo-run-1
63 0 AP890611-0034  231 0.043174677 myalgo-run-1
63 0 AP890209-0262  232 0.043174677 myalgo-run-1
63 0 AP890216-0102  233 0.043174677 myalgo-run-1
63 0 AP891218-0127  234 0.043174677 myalgo-run-1
63 0 AP890803-0144  235 0.043174677 myalgo-run-1
63 0 AP890316-0086  236 0.043174677 myalgo-run-1
63 0 AP890816-0077  237 0.043174677 myalgo-run-1
63 0 AP890902-0150  238 0.043174677 myalgo-run-1
63 0 AP890915-0231  239 0.043174677 myalgo-run-1
63 0 AP890512-0154  240 0.043174677 myalgo-run-1
63 0 AP891002-0217  241 0.043174677 myalgo-run-1
63 0 AP891011-0276  242 0.042311184 myalgo-run-1
63 0 AP890106-0149  243 0.042311184 myalgo-run-1
63 0 AP890112-0051  244 0.042311184 myalgo-run-1
63 0 AP890212-0033  245 0.042311184 myalgo-run-1
63 0 AP890226-0055  246 0.042311184 myalgo-run-1
63 0 AP890731-0221  247 0.042311184 myalgo-run-1
63 0 AP890316-0242  248 0.042311184 myalgo-run-1
63 0 AP890807-0175  249 0.042311184 myalgo-run-1
63 0 AP890810-0226  250 0.042311184 myalgo-run-1
63 0 AP890421-0125  251 0.042311184 myalgo-run-1
63 0 AP891002-0159  252 0.042311184 myalgo-run-1
63 0 AP890521-0027  253 0.04144769 myalgo-run-1
63 0 AP890526-0029  254 0.04144769 myalgo-run-1
63 0 AP891016-0182  255 0.04144769 myalgo-run-1
63 0 AP890120-0017  256 0.04144769 myalgo-run-1
63 0 AP891102-0249  257 0.04144769 myalgo-run-1
63 0 AP891106-0058  258 0.04144769 myalgo-run-1
63 0 AP891107-0184  259 0.04144769 myalgo-run-1
63 0 AP890624-0125  260 0.04144769 myalgo-run-1
63 0 AP890707-0145  261 0.04144769 myalgo-run-1
63 0 AP891127-0123  262 0.04144769 myalgo-run-1
63 0 AP891130-0081  263 0.04144769 myalgo-run-1
63 0 AP890714-0241  264 0.04144769 myalgo-run-1
63 0 AP890307-0077  265 0.04144769 myalgo-run-1
63 0 AP890316-0043  266 0.04144769 myalgo-run-1
63 0 AP890810-0197  267 0.04144769 myalgo-run-1
63 0 AP890404-0073  268 0.04144769 myalgo-run-1
63 0 AP890406-0211  269 0.04144769 myalgo-run-1
63 0 AP890827-0071  270 0.04144769 myalgo-run-1
63 0 AP890829-0216  271 0.04144769 myalgo-run-1
63 0 AP890418-0009  272 0.04144769 myalgo-run-1
63 0 AP890906-0262  273 0.04144769 myalgo-run-1
63 0 AP890918-0075  274 0.04144769 myalgo-run-1
63 0 AP890509-0273  275 0.04144769 myalgo-run-1
63 0 AP890816-0012  276 0.039576788 myalgo-run-1
63 0 AP890410-0007  277 0.039576788 myalgo-run-1
63 0 AP891012-0164  278 0.03889806 myalgo-run-1
63 0 AP890527-0075  279 0.03889806 myalgo-run-1
63 0 AP890123-0201  280 0.03889806 myalgo-run-1
63 0 AP890710-0242  281 0.03889806 myalgo-run-1
63 0 AP891007-0101  282 0.03889806 myalgo-run-1
63 0 AP891007-0112  283 0.03889806 myalgo-run-1
63 0 AP890603-0131  284 0.038468063 myalgo-run-1
63 0 AP891106-0177  285 0.038468063 myalgo-run-1
63 0 AP891108-0250  286 0.038468063 myalgo-run-1
63 0 AP890219-0033  287 0.038468063 myalgo-run-1
63 0 AP890220-0059  288 0.038468063 myalgo-run-1
63 0 AP891203-0025  289 0.038468063 myalgo-run-1
63 0 AP890921-0089  290 0.038468063 myalgo-run-1
63 0 AP890609-0079  291 0.0381201 myalgo-run-1
63 0 AP890125-0173  292 0.0381201 myalgo-run-1
63 0 AP891108-0222  293 0.0381201 myalgo-run-1
63 0 AP891117-0178  294 0.0381201 myalgo-run-1
63 0 AP891130-0167  295 0.0381201 myalgo-run-1
63 0 AP890724-0062  296 0.0381201 myalgo-run-1
63 0 AP890724-0140  297 0.0381201 myalgo-run-1
63 0 AP890727-0194  298 0.0381201 myalgo-run-1
63 0 AP891218-0186  299 0.0381201 myalgo-run-1
63 0 AP890311-0074  300 0.0381201 myalgo-run-1
63 0 AP890314-0030  301 0.0381201 myalgo-run-1
63 0 AP890811-0119  302 0.0381201 myalgo-run-1
63 0 AP890821-0189  303 0.0381201 myalgo-run-1
63 0 AP890412-0134  304 0.0381201 myalgo-run-1
63 0 AP890421-0159  305 0.0381201 myalgo-run-1
63 0 AP890223-0101  306 0.0376987 myalgo-run-1
63 0 AP891204-0019  307 0.0376987 myalgo-run-1
63 0 AP891219-0071  308 0.0376987 myalgo-run-1
63 0 AP890424-0189  309 0.0376987 myalgo-run-1
63 0 AP890103-0246  310 0.03734214 myalgo-run-1
63 0 AP890112-0041  311 0.03734214 myalgo-run-1
63 0 AP890618-0013  312 0.03734214 myalgo-run-1
63 0 AP890203-0141  313 0.03734214 myalgo-run-1
63 0 AP890625-0043  314 0.03734214 myalgo-run-1
63 0 AP890707-0106  315 0.03734214 myalgo-run-1
63 0 AP891213-0106  316 0.03734214 myalgo-run-1
63 0 AP891213-0158  317 0.03734214 myalgo-run-1
63 0 AP891214-0052  318 0.03734214 myalgo-run-1
63 0 AP890306-0295  319 0.03734214 myalgo-run-1
63 0 AP891220-0027  320 0.03734214 myalgo-run-1
63 0 AP890311-0105  321 0.03734214 myalgo-run-1
63 0 AP890829-0029  322 0.03734214 myalgo-run-1
63 0 AP890506-0055  323 0.03734214 myalgo-run-1
63 0 AP890509-0179  324 0.03734214 myalgo-run-1
63 0 AP891004-0104  325 0.03734214 myalgo-run-1
63 0 AP890524-0150  326 0.03684239 myalgo-run-1
63 0 AP890601-0061  327 0.03684239 myalgo-run-1
63 0 AP890601-0153  328 0.03684239 myalgo-run-1
63 0 AP890113-0199  329 0.03684239 myalgo-run-1
63 0 AP891025-0124  330 0.03684239 myalgo-run-1
63 0 AP890119-0238  331 0.03684239 myalgo-run-1
63 0 AP890609-0212  332 0.03684239 myalgo-run-1
63 0 AP890124-0297  333 0.03684239 myalgo-run-1
63 0 AP890125-0260  334 0.03684239 myalgo-run-1
63 0 AP890620-0161  335 0.03684239 myalgo-run-1
63 0 AP890202-0168  336 0.03684239 myalgo-run-1
63 0 AP890202-0300  337 0.03684239 myalgo-run-1
63 0 AP890205-0094  338 0.03684239 myalgo-run-1
63 0 AP890207-0082  339 0.03684239 myalgo-run-1
63 0 AP890207-0188  340 0.03684239 myalgo-run-1
63 0 AP891115-0226  341 0.03684239 myalgo-run-1
63 0 AP890706-0116  342 0.03684239 myalgo-run-1
63 0 AP891123-0111  343 0.03684239 myalgo-run-1
63 0 AP890707-0213  344 0.03684239 myalgo-run-1
63 0 AP890724-0184  345 0.03684239 myalgo-run-1
63 0 AP890306-0147  346 0.03684239 myalgo-run-1
63 0 AP890805-0138  347 0.03684239 myalgo-run-1
63 0 AP890808-0014  348 0.03684239 myalgo-run-1
63 0 AP890810-0119  349 0.03684239 myalgo-run-1
63 0 AP890810-0236  350 0.03684239 myalgo-run-1
63 0 AP890811-0089  351 0.03684239 myalgo-run-1
63 0 AP890324-0011  352 0.03684239 myalgo-run-1
63 0 AP890814-0237  353 0.03684239 myalgo-run-1
63 0 AP890329-0101  354 0.03684239 myalgo-run-1
63 0 AP890329-0129  355 0.03684239 myalgo-run-1
63 0 AP890824-0003  356 0.03684239 myalgo-run-1
63 0 AP890824-0164  357 0.03684239 myalgo-run-1
63 0 AP890418-0180  358 0.03684239 myalgo-run-1
63 0 AP890420-0231  359 0.03684239 myalgo-run-1
63 0 AP891002-0345  360 0.03684239 myalgo-run-1
63 0 AP891006-0069  361 0.03684239 myalgo-run-1
63 0 AP890527-0036  362 0.03640721 myalgo-run-1
63 0 AP891018-0125  363 0.03640721 myalgo-run-1
63 0 AP890609-0061  364 0.03640721 myalgo-run-1
63 0 AP891110-0007  365 0.03640721 myalgo-run-1
63 0 AP891117-0115  366 0.03640721 myalgo-run-1
63 0 AP890927-0033  367 0.03640721 myalgo-run-1
63 0 AP890512-0124  368 0.03640721 myalgo-run-1
63 0 AP891003-0158  369 0.03640721 myalgo-run-1
63 0 AP890525-0088  370 0.03626673 myalgo-run-1
63 0 AP890109-0011  371 0.03626673 myalgo-run-1
63 0 AP890609-0162  372 0.03626673 myalgo-run-1
63 0 AP891102-0238  373 0.03626673 myalgo-run-1
63 0 AP890619-0058  374 0.03626673 myalgo-run-1
63 0 AP890130-0269  375 0.03626673 myalgo-run-1
63 0 AP890131-0030  376 0.03626673 myalgo-run-1
63 0 AP890716-0037  377 0.03626673 myalgo-run-1
63 0 AP890228-0126  378 0.03626673 myalgo-run-1
